Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
INCREDIBLE INDUSTRIES LIMITED,INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,Active,,,,,,,,,
Weizmann Limited,WEIZMANIND,Weizmann Limited,Active,,,,,,,,,
The Peria Karamalai Tea & Produce Company Limited,PKTEA,The Peria Karamalai Tea & Produce Company Limited,Active,,,,,,,,,
Pressman Advertising Limited,PRESSMN,Pressman Advertising Limited,Active,,,,,,,,,
Univastu India Limited,UNIVASTU,Univastu India Limited,Active,,,,,,,,,
Welspun Investments and Commercials Limited,WELINV,Welspun Investments and Commercials Limited,Active,,,,,,,,,
Indbank Merchant Banking Services Limited,INDBANK,Indbank Merchant Banking Services Limited,Active,,,,,,,,,
Landmark Property Development Company Limited,LPDC,Landmark Property Development Company Limited,Active,,,,,,,,,
Goenka Diamond and Jewels Limited,GOENKA,Goenka Diamond and Jewels Limited,Active,,,,,,,,,
MRO-TEK Realty Limited,MRO-TEK,MRO-TEK Realty Limited,Active,,,,,,,,,
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Active,,,,,,,,,
Simbhaoli Sugars Limited,SIMBHALS,Simbhaoli Sugars Limited,Active,,,,,,,,,
MIC Electronics Limited,MICEL,MIC Electronics Limited,Active,,,,,,,,,
